,0,1
0,13233.0,1784084.0380385988
1,16739.0,1561502.38277764
2,19347.0,4279327.86865289
3,10388.0,-2878336.4760276764
4,17031.0,-1865484.336619371
5,12081.0,-5732753.260916322
6,11922.0,-1351177.411809837
7,12779.0,571632.267598091
8,17040.0,-4080029.295187522
9,15013.0,2753520.845020302
10,15419.0,619385.2901814348
11,10221.0,4688789.180764091
12,19343.0,682349.292106443
13,11993.0,819499.6382677351
14,10517.0,-6482487.455075946
15,16045.0,5147406.735812283
16,13301.0,496621.9508174799
17,14923.0,492806.4879334612
18,13359.0,1946304.3311187685
19,18870.0,-1179988.4206199981
20,16572.0,787552.4223583587
21,12293.0,-745216.2457033288
22,11032.0,2365047.154628921
23,19073.0,-892148.9137492112
24,10841.0,3475311.5649185693
25,13837.0,-1371409.1297615776
26,18029.0,322063.3884240801
27,17133.0,-2209738.532370314
28,19377.0,-4350906.863699655
29,13674.0,5932584.347762739
30,12543.0,-2039403.5947140607
31,10952.0,-2859015.5610093577
32,12692.0,822375.4114186785
33,18516.0,-1876502.4862782531
34,11837.0,-3461202.6231624
35,11209.0,-1032918.3794943128
36,18193.0,3020506.332471154
37,13550.0,-2232406.82907595
38,19712.0,-1688656.5321495277
39,11300.0,-3897382.6122062337
40,13257.0,-2758737.402314322
41,11789.0,3742729.032585992
42,19266.0,-173148.59020668047
43,17872.0,1889558.1497794138
44,16672.0,-6651.321102352791
45,15258.0,-170976.11641703153
46,17494.0,645034.6373691668
47,10930.0,-651790.8248960987
48,12561.0,-2923216.059068116
49,11217.0,-500388.8885071061
50,11955.0,3378905.6400316344
51,13282.0,-4005211.760583917
52,14910.0,2738872.427223485
53,14678.0,1648678.3557845217
54,10698.0,-1504859.1647736395
55,10101.0,335636.7336177316
56,16806.0,-1141891.0234614809
57,12675.0,-330324.79868269584
58,10835.0,2241120.675065164
59,15532.0,7046914.2358718235
60,10637.0,-2105475.1027813377
61,12666.0,-135858.09666720883
62,13494.0,-841229.459475021
63,13568.0,615890.5971395696
64,18036.0,-4947597.665835723
65,11552.0,2529599.428825087
66,14110.0,40768.27436347279
67,14525.0,1668428.7745424036
68,16827.0,-2350472.4016003218
69,18060.0,-2104848.9137195256
70,14028.0,-33429.72877223177
71,18581.0,-667406.6993211629
72,18688.0,-2273191.1826514825
73,10787.0,1497462.764599656
74,13477.0,-4161598.431801905
75,18623.0,1043068.7230373217
76,10472.0,-373874.7972549326
77,11072.0,1013619.4325476174
78,13119.0,-1299053.047371157
79,12428.0,2019798.602510974
80,10366.0,2252558.0910162656
81,17794.0,2642417.7206290206
82,13727.0,2762462.3327527703
83,12295.0,-3729469.6190128955
84,10227.0,3579717.6385494624
85,16033.0,-5699094.043975329
86,10489.0,-1798.856834591956
87,13673.0,-1162645.7993352723
88,16142.0,713959.5802032267
89,10428.0,399828.59288388386
90,19861.0,-2890595.917449365
91,10289.0,-730358.175983094
92,18427.0,-2576375.2538190465
93,18324.0,-1312474.6320412732
94,11518.0,-638674.0560371376
95,17664.0,2150787.258322356
96,18940.0,528808.2940653511
97,17291.0,-1264145.1945739249
98,16491.0,2838842.915708106
99,13930.0,-1531446.808645553
100,12370.0,-1191819.4450503234
101,15636.0,1202818.8886929157
102,10250.0,2611866.5602078014
103,17722.0,2289635.793742105
104,15270.0,1058479.931971161
105,17267.0,1519149.383733289
106,18541.0,2000842.4206302506
107,11907.0,-4067372.9930020203
108,12473.0,-1403637.8474743322
109,18750.0,1364861.0273605199
110,14084.0,4073285.764906371
111,19749.0,-1810231.9349897048
112,16500.0,-3157773.5440735538
113,18884.0,4511752.346374486
114,19053.0,-1583985.545406294
115,11951.0,263911.1775519578
116,17940.0,1642151.581954001
117,14191.0,-1636524.8254565299
118,12604.0,-931386.7388305144
119,12101.0,-670801.5205723274
120,17661.0,-537558.9281275596
121,14021.0,-680341.9855291246
122,11447.0,579288.7046423379
123,17161.0,-2073598.4247882715
124,12751.0,2880025.4426016225
125,19334.0,-3725706.74788256
126,13069.0,1050452.9341775188
127,12441.0,1308743.8947127424
128,11140.0,-1307534.9565020245
129,14074.0,-210093.34226094253
130,19733.0,-6634913.197761378
131,12342.0,-853213.9220752646
132,18257.0,-1131946.6995286338
133,12185.0,-3310879.609469509
134,12407.0,-4021099.0332067227
135,18235.0,-1445505.51743502
136,17399.0,-3337333.4383537206
137,18620.0,-33949.78666126879
138,15302.0,-922006.1613077355
139,16278.0,3490996.831983123
140,11984.0,548408.2620353288
141,17295.0,-2748604.449912531
142,12502.0,-1753989.5018560227
143,11293.0,-2788803.004027434
